hard_words,meanings
Abandon,cease to support or look after someone
Abolish,"formally put an end to (a system, practice, or institution)"
Abscond,"leave hurriedly and secretly, typically to avoid detection of or arrest for an unlawful action such as theft"
Accelerate,(of a vehicle or other physical object) begin to move more quickly
Backbite,talk maliciously about someone who is not present
Baffle,totally bewilder or perplex
Ballad,a poem or song narrating a story in short stanzas
Banish,send (someone) away from a country or place as an official punishment
Cajole,persuade (someone) to do something by sustained coaxing or flattery
Charisma,compelling attractiveness or charm that can inspire devotion in others
Chasm,"a deep crack or opening in the earth, rock, or another surface"
Chauvinist,a person with a prejudiced belief in his own superiority
Dauntless,showing fearlessness and determination
Delicacy,fineness or intricacy of texture or structure
Delicate,very fine in texture or structure; of intricate workmanship or quality
Depict,"show or represent by a drawing, painting, or other art form"
Edifice,"a building, especially a large, imposing one"
Elegy,"a poem of serious reflection, typically a lament for the dead"
Endeavour,try hard to do or achieve something
Endure,suffer patiently
Fasten,close or do up securely
Fathom,"a unit of length equal to six feet (approximately 1.8 m), chiefly used in reference to the depth of water"
Fete,a celebration or festival
Fidelity,faithfulness to a person
Gale,a very strong wind
Gallant,brave
Gambit,"a device, action, or opening remark, typically one entailing a degree of risk, that is calculated to gain an advantage"
Gamble,play games of chance for money; bet
Garment,an item of clothing
Habitual,done or doing constantly or as a habit
Hail,call out to (someone) to attract attention
Harbinger,a person or thing that announces or signals the approach of another
Haughty,arrogantly superior and disdainful
Idle,lazy
Imbibe,drink
Imperative,of vital importance; crucial
Impetus,the force or energy with which a body moves
Jaunt,a short journey for pleasure
Jolly,happy and cheerful
Jovial,cheerful and friendly
Judicious,"having, showing, or done with good judgement or sense"
Keen,having or showing eagerness or enthusiasm
Keystone,the central principle on which all else depends
Kickoff,the start of an event or activity
Kindle,light or set on fire
Lampoon,"publicly criticise by using ridicule, irony, or sarcasm"
Languid,pleasantly lazy and peaceful
Languish,lose or lack vitality; grow weak or feeble.
Leverage,the exertion of force by means of a lever
buggler,thief
